Currently a work in progress. Feedback is welcome.,,,,,,,,,,,,,,,,,,,,,
Updated as of 6/25/2026,,,,,,,,,,,,,,,,,,,,,
ERA,COVER,Title & Description,,,,,,,,,,,,,,,,CREATOR(S),Length & track no.,LINK(S) [W.I.P],Extras
,,"Will explain what makes a comp different from release, and what has been added or changed.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Type of comp: Remaster, Vanilla, overhaul, renovation, extension, remix, shitpost, and playlist.",,,,,,,,,,,,,,,,,,,,,
"Era refers to an album, or period of time that the comp is based on or taking place during. ","A comps cover will be displayed in this column. If there is no custom cover, a default cover will be used.","Dry descriptions that act as a guide. Quality can, and will vary without disclosure here. Playlists are denoted as such, typically put together by one individual using others edits with personal touches applied at the discretion of the playlist maker, credits are included when applicable here. Due to the nature of the yedits archive, listings may be updated as new information is uncovered or presented. If you see something you believe is incorrect, let me know and I will try to verify this information before updating it. This archive ideally will be shared physically, and digitally without fear of a DMCA takedown notice being filed someday. If you find this document in an incomplete or incorrect state, you may have an outdated copy, or the work on the archive and/or document here has been abandoned. I hope this spreadsheet is helpful in navigating the archive. Special credit to Sophie for allowing me to borrow color coding from her curated tracker, and some terminology. Thanks to Aiwei for touching up the sheet further. -  100greenmen",,,,,,,,,,,,,,,,Multiple individuals may be listed when applicable,"Length of the full comp, not counting bonus tracks","Links to comps will be dropped here, samply links provided by Koji.",Any supplementary material a comp might come with
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,The Go-Getters,,,,,,,,,,,,,,,,,,,
,,"Kanye West would begin work in the music industry producing beats, and recording with a Chicago based rap group featuring GLC, Timmy G, and Arrowstar while trying to find his sound. Although Kanye's signature sample chopping is present for many of these tracks that were released on mixtapes or leaked, he would later state he was disatisfied with his persona for his verses, and would course correct to a more authentic one going forward.  The era currently only has one comp but future comps would need to be based on the tracks produced with the Go-Getters to fit into this slot. ",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
The Go-Getters,,World Record Holders,,,,,,,,,,,,,,,,Goose,52 mins. 17 tracks.,SAMPLY,Multiple file formats.
,,"World Record Holders compiles and remasters the tracks produced by the Go-Getters in the vein of old school hip-hop with Kanye's iconic sample choping on display. Goose's contributions include new production, remixed and/or re-arranged verses, and mixing to make the overall quality of the comp consistent. Goose has stated he would like to remaster/remake this comp himself. -  100greenmen",,,,,,,,,,,,,,,,,,,
,,"Remaster, Playlist",,,,,,,,,,,,,,,,,,,
The Go-Getters,,Go-Getters - World Record Holders [1999-XX-XX],,,,,,,,,,,,,,,,Goose/gv,52 mins. 17 tracks.,SAMPLY,N/A
,,"gv's personal remaster of Goose's  World Record Holders comp, part of a personal timeline adjacent to big brother's earth 2054 timeline. Although the tracklist is almost identical, the track 16. ""His Name Means Love (Outro)"" was omitted entirely.  - 100greenmen",,,,,,,,,,,,,,,,,,,
,,The College Dropout,,,,,,,,,,,,,,,,,,,
,,"Kanye West's first studio album released in 2003. After many attempts to find a label that would release his music, this album faced numerous delays and changes in direction (most notably a nearly fatal car crash), utlimately steering away from the usual sounds of hip hop, focusing on a unique style of sampling for the time, lyrics that reflected Kanye's beliefs and anxieties, in the hopes that he could inspire other people with his poetic prose and optimistic outlook on breaking away from established norms. Comps from this era contain a large number of scrapped tracks dating back to Kanye's solo work in the late 90's, and tracks after he signed with Roc-A-Fella, as well as released tracks.",,,,,,,,,,,,,,,,,,,
,,Remaster,,,,,,,,,,,,,,,,,,,
The College Dropout,,Freshman Year,,,,,,,,,,,,,,,,FosterLynch,"1 hour, 48 minutes, 33 tracks",SAMPLY,N/A
,,"FosterLynch's extensive remaster of college dropout scraps, and other Kanye tracks sourced from various mixtapes released between 1999 and 2002. The Lo-Fi quality is preserved while mixing is updated for modern audio devices. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Remaster,,,,,,,,,,,,,,,,,,,
The College Dropout,,The College Dropout,,,,,,,,,,,,,,,,FosterLynch,"1 Hour, 26 mins. 24 tracks.",SAMPLY,N/A
,,"FosterLynch's remaster of the college dropout's release tracks, as well as an alternate version of we don't care and a few scrapped tracks. Updated for modern audio devices. May be out of date, however the audio quality and mixing on offer is superior to any given version avaliable on streaming services. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Vanilla,,,,,,,,,,,,,,,,,,,
The College Dropout,,Dream Killers,,,,,,,,,,,,,,,,SimpleJosh,53 mins. 16 tracks.,SAMPLY,"7 Bonus tracks, alt cover"
,,"SimpleJosh's take on a Kanye West Mixtape after he started producing music with Roc-a-fella records, fairly faithful remasters to the tracks from their respective mixtapes. Contains two versions of Drop Dead Gorgeous as bonus tracks, and a few early versions of college dropout songs. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Remaster,,,,,,,,,,,,,,,,,,,
The College Dropout,,School Spirit,,,,,,,,,,,,,,,,Matsu,30 mins. 10 tracks.,SAMPLY,N/A
,,"A short selection of tracks, and a custom intro track made before and during The College Dropout era with cleaned up audio, presumably chosen for their consistent old school hip hop sound. A good companion album to listen to alongside the college dropout itself. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Extension,,,,,,,,,,,,,,,,,,,
The College Dropout,,The College Dropout,,,,,,,,,,,,,,,,Whoop,"1 hour, 36 mins. 21 tracks.",SAMPLY,N/A
,,"An extension adding new audio bytes, interviews, and samples as intros and outtros to some songs, while others are identical to the official release. Some scrapped or alt takes were added as additional verses to the extended songs, while still maintaining the official college dropout tracklist. - 100greenmen",,,,,,,,,,,,,,,,,,,
,,Extension,,,,,,,,,,,,,,,,,,,
The College Dropout,,Most Unlikely To Succeed,,,,,,,,,,,,,,,,BSB Dante,"1 hour, 47 mins. 14 tracks.",SAMPLY,N/A
,,"A comp that merges skits with songs, extends them with alt/scrapped verses, ad-libs, and adds a few tracks produced during Kanye's time working under Roc-a-fella. Noteably does not change last call. -  100greenmen",,,,,,,,,,,,,,,,,,,
,,"Playlist, Overhaul",,,,,,,,,,,,,,,,,,,
The College Dropout,,Most Unlikely To Succeed [2003-08-11],,,,,,,,,,,,,,,,gv,"1 hour, 11 mins. 18 tracks.",SAMPLY,"Credits list, one bonus track, explanation by gv"
